	Trait	TrainSet	ValidSet	Model	Test_Accuracy	Valid_Accuracy	MSE	Runtime	Leaves	Trees
155	smut	[1, 2, 4, 5]	3	RF	0.40437098675157296	0.26207962882335845	4.983800683516177	0.0	50.0	500.0
156	smut	[1, 2, 4, 5]	3	RF	0.37868397558018435	0.2404244243174701	5.072576032291209	0.0	100.0	50.0
157	smut	[1, 2, 4, 5]	3	RF	0.37868397558018435	0.2404244243174701	5.072576032291209	0.0	100.0	50.0
158	smut	[1, 2, 4, 5]	3	RF	0.37868397558018435	0.2404244243174701	5.072576032291209	0.0	100.0	50.0
159	smut	[1, 2, 4, 5]	3	RF	0.38637010872999733	0.2411671195090542	5.062960121972699	0.0	100.0	100.0
160	smut	[1, 2, 4, 5]	3	RF	0.38637010872999733	0.2411671195090542	5.062960121972699	0.0	100.0	100.0
161	smut	[1, 2, 4, 5]	3	RF	0.38637010872999733	0.2411671195090542	5.062960121972699	0.0	100.0	100.0
162	smut	[1, 2, 4, 5]	3	RF	0.3972236372486876	0.2412052110209073	5.056617971328073	0.0	100.0	200.0
163	smut	[1, 2, 4, 5]	3	RF	0.3972236372486876	0.24120521102090736	5.056617971328073	0.0	100.0	200.0
164	smut	[1, 2, 4, 5]	3	RF	0.3972236372486876	0.24120521102090736	5.056617971328073	0.0	100.0	200.0
165	smut	[1, 2, 4, 5]	3	RF	0.39719571526092645	0.24660193699036728	5.034189165998976	0.0	100.0	500.0
166	smut	[1, 2, 4, 5]	3	RF	0.39719571526092645	0.24660193699036728	5.034189165998976	0.0	100.0	500.0
167	smut	[1, 2, 4, 5]	3	RF	0.39719571526092645	0.24660193699036728	5.034189165998976	0.0	100.0	500.0
168	smut	[1, 2, 4, 5]	3	RF	0.37868397558018435	0.2404244243174701	5.072576032291209	0.0	500.0	50.0
169	smut	[1, 2, 4, 5]	3	RF	0.37868397558018435	0.2404244243174701	5.072576032291209	0.0	500.0	50.0
170	smut	[1, 2, 4, 5]	3	RF	0.37868397558018435	0.2404244243174701	5.072576032291209	0.0	500.0	50.0
171	smut	[1, 2, 4, 5]	3	RF	0.38637010872999733	0.2411671195090542	5.062960121972699	0.0	500.0	100.0
172	smut	[1, 2, 4, 5]	3	RF	0.38637010872999733	0.2411671195090542	5.062960121972699	0.0	500.0	100.0
173	smut	[1, 2, 4, 5]	3	RF	0.38637010872999733	0.2411671195090542	5.062960121972699	0.0	500.0	100.0
174	smut	[1, 2, 4, 5]	3	RF	0.3972236372486876	0.24120521102090736	5.056617971328073	0.0	500.0	200.0
175	smut	[1, 2, 4, 5]	3	RF	0.3972236372486876	0.2412052110209073	5.056617971328073	0.0	500.0	200.0
176	smut	[1, 2, 4, 5]	3	RF	0.3972236372486876	0.24120521102090736	5.056617971328073	0.0	500.0	200.0
177	smut	[1, 2, 4, 5]	3	RF	0.39719571526092645	0.24660193699036728	5.034189165998976	0.0	500.0	500.0
178	smut	[1, 2, 4, 5]	3	RF	0.39719571526092645	0.24660193699036728	5.034189165998976	0.0	500.0	500.0
179	smut	[1, 2, 4, 5]	3	RF	0.39719571526092645	0.24660193699036728	5.034189165998976	0.0	500.0	500.0
180	smut	[1, 2, 4, 5]	3	RF	0.37868397558018435	0.2404244243174701	5.072576032291209	0.0	1000.0	50.0
181	smut	[1, 2, 4, 5]	3	RF	0.37868397558018435	0.2404244243174701	5.072576032291209	0.0	1000.0	50.0
182	smut	[1, 2, 4, 5]	3	RF	0.37868397558018435	0.2404244243174701	5.072576032291209	0.0	1000.0	50.0
183	smut	[1, 2, 4, 5]	3	RF	0.38637010872999733	0.2411671195090542	5.062960121972699	0.0	1000.0	100.0
